DateTimeUT,"Exposure Time","Exposure Meter Counts"
"2020-03-16 12:58:35",205.293,24029916
"2020-03-16 12:58:39",208.497,24030382
"2020-03-16 12:58:43",212.288,24030832
"2020-03-16 12:58:47",216.079,24031270
"2020-03-16 12:58:51",220.13,24031752
"2020-03-16 12:58:54",224.34,24032212
"2020-03-16 12:58:58",227.45,24032688
"2020-03-16 12:59:02",231.241,24033122
"2020-03-16 12:59:06",235.032,24033536
"2020-03-16 12:59:10",239.178,24033938
"2020-03-16 12:59:13",243.387,24034464
"2020-03-16 12:59:17",246.404,24034966
"2020-03-16 12:59:21",250.195,28821916
"2020-03-16 12:59:25",254.014,28822508
"2020-03-16 12:59:29",258.224,28822976
"2020-03-16 12:59:32",262.433,28823454
"2020-03-16 12:59:36",265.358,28823920
"2020-03-16 12:59:40",269.148,28824314
"2020-03-16 12:59:44",273.062,28824712
"2020-03-16 12:59:48",277.271,28825124
"2020-03-16 12:59:51",281.48,28825594
"2020-03-16 12:59:55",284.311,28826056
"2020-03-16 12:59:59",288.101,28826460
"2020-03-16 13:00:03",292.109,28826902
"2020-03-16 13:00:07",296.317,28827368
"2020-03-16 13:00:10",300.477,33647788
"2020-03-16 13:00:14",303.314,33648292
"2020-03-16 13:00:18",307.105,33648704
"2020-03-16 13:00:22",311.105,33649176
"2020-03-16 13:00:25",315.314,33649672
"2020-03-16 13:00:29",318.476,33650172
"2020-03-16 13:00:33",322.267,33650556
"2020-03-16 13:00:37",326.057,33650992
"2020-03-16 13:00:41",330.151,33651472
"2020-03-16 13:00:44",334.352,33651912
"2020-03-16 13:00:48",337.44,33652336
"2020-03-16 13:00:52",341.23,33652792
"2020-03-16 13:00:56",345.021,33653256
"2020-03-16 13:01:00",349.189,38473352
"2020-03-16 13:01:03",353.397,38473948
"2020-03-16 13:01:07",356.393,38474444
"2020-03-16 13:01:11",360.183,38474908
"2020-03-16 13:01:15",364.026,38475360
"2020-03-16 13:01:19",368.236,38475736
"2020-03-16 13:01:22",372.444,38476180
"2020-03-16 13:01:26",375.347,38476612
"2020-03-16 13:01:30",379.136,38477108
"2020-03-16 13:01:34",383.073,38477556
"2020-03-16 13:01:37",387.282,38478028
"2020-03-16 13:01:41",390.509,38478536
"2020-03-16 13:01:45",394.299,38479048
"2020-03-16 13:01:49",398.091,43319200
"2020-03-16 13:01:53",402.109,43319736
"2020-03-16 13:01:56",406.32,43320236
"2020-03-16 13:02:00",409.471,43320648
"2020-03-16 13:02:04",413.262,43321120
"2020-03-16 13:02:08",417.053,43321668
"2020-03-16 13:02:12",421.156,43322112
"2020-03-16 13:02:15",425.366,43322588
"2020-03-16 13:02:19",428.425,43323104
"2020-03-16 13:02:23",432.217,43323628
"2020-03-16 13:02:27",436.007,43324128
"2020-03-16 13:02:31",440.203,43324528
"2020-03-16 13:02:34",444.411,43324964
"2020-03-16 13:02:38",447.378,48157224
"2020-03-16 13:02:42",451.169,48157712
"2020-03-16 13:02:46",455.041,48158196
"2020-03-16 13:02:50",459.249,48158676
"2020-03-16 13:02:53",463.459,48159112
"2020-03-16 13:02:57",466.332,48159592
"2020-03-16 13:03:01",470.123,48160056
"2020-03-16 13:03:05",474.087,48160556
"2020-03-16 13:03:08",478.296,48161044
"2020-03-16 13:03:12",481.512,48161520
"2020-03-16 13:03:16",485.305,48161944
"2020-03-16 13:03:20",489.096,48162412
"2020-03-16 13:03:24",493.114,48162904
"2020-03-16 13:03:27",497.323,52959524
"2020-03-16 13:03:31",500.467,52960044
"2020-03-16 13:03:35",504.259,52960476
"2020-03-16 13:03:39",508.049,52960924
"2020-03-16 13:03:43",512.16,52961356
"2020-03-16 13:03:46",516.33,52961788
"2020-03-16 13:03:50",519.461,52962256
"2020-03-16 13:03:54",523.252,52962760
"2020-03-16 13:03:58",527.043,52963196
"2020-03-16 13:04:02",531.167,52963632
"2020-03-16 13:04:05",535.377,52964136
"2020-03-16 13:04:09",538.454,52964624
"2020-03-16 13:04:13",542.245,52965124
"2020-03-16 13:04:17",546.036,57780688
"2020-03-16 13:04:21",550.174,57781196
"2020-03-16 13:04:24",554.383,57781700
"2020-03-16 13:04:28",557.408,57782128
"2020-03-16 13:04:32",561.239,57782548
"2020-03-16 13:04:36",565.029,57783072
"2020-03-16 13:04:40",569.18,57783568
"2020-03-16 13:04:43",573.389,57783980
"2020-03-16 13:04:47",576.401,57784448
"2020-03-16 13:04:51",580.191,57784928
"2020-03-16 13:04:55",584.022,57785416
"2020-03-16 13:04:59",588.187,57785884
"2020-03-16 13:05:02",592.396,57786376
"2020-03-16 13:05:06",595.395,62595740
"2020-03-16 13:05:11",599.195,62596456
"2020-03-16 13:05:15",604.034,62596992
"2020-03-16 13:05:19",608.243,62597484
"2020-03-16 13:05:22",612.453,62597968
"2020-03-16 13:05:26",615.338,62598384
"2020-03-16 13:05:30",619.129,62598840
"2020-03-16 13:05:34",623.08,62599312
"2020-03-16 13:05:37",627.29,62599820
"2020-03-16 13:05:41",630.501,62600288
"2020-03-16 13:05:45",634.291,62600752
"2020-03-16 13:05:49",638.082,62601256
"2020-03-16 13:05:53",642.128,62601748
"2020-03-16 13:06:00",646.337,67422656
"2020-03-16 13:06:04",653.055,67423104
"2020-03-16 13:06:08",657.264,67423616
"2020-03-16 13:06:11",661.474,67424064
"2020-03-16 13:06:15",664.316,67424464
"2020-03-16 13:06:19",668.107,67424920
"2020-03-16 13:06:23",672.103,67425312
"2020-03-16 13:06:26",676.312,67425776
"2020-03-16 13:06:30",679.479,67426240
"2020-03-16 13:06:34",683.27,67426688
"2020-03-16 13:06:38",687.06,67427176
"2020-03-16 13:06:42",691.191,67427624
"2020-03-16 13:06:46",695.018,72254112
"2020-03-16 13:06:50",699.217,72254608
"2020-03-16 13:06:53",703.426,72255104
"2020-03-16 13:06:57",706.364,72255536
"2020-03-16 13:07:01",710.154,72255928
"2020-03-16 13:07:05",714.055,72256376
"2020-03-16 13:07:09",718.263,72256848
"2020-03-16 13:07:12",722.463,72257272
"2020-03-16 13:07:16",725.327,72257704
"2020-03-16 13:07:20",729.118,72258152
"2020-03-16 13:07:24",733.091,72258560
"2020-03-16 13:07:27",737.301,72258992
"2020-03-16 13:07:31",740.49,72259464
"2020-03-16 13:07:35",744.281,77076368
"2020-03-16 13:07:39",748.082,77076832
"2020-03-16 13:07:43",752.128,77077264
"2020-03-16 13:07:46",756.338,77077680
"2020-03-16 13:07:50",759.453,77078176
"2020-03-16 13:07:54",763.244,77078648
"2020-03-16 13:07:58",767.035,77079064
"2020-03-16 13:08:02",771.165,77079528
"2020-03-16 13:08:05",775.364,77079968
"2020-03-16 13:08:09",778.437,77080392
"2020-03-16 13:08:13",782.228,77080872
"2020-03-16 13:08:17",786.019,77081320
"2020-03-16 13:08:21",790.191,77081752
"2020-03-16 13:08:24",794.4,81904616
"2020-03-16 13:08:29",797.39,81905256
"2020-03-16 13:08:33",802.151,81905712
"2020-03-16 13:08:37",806.059,81906128
"2020-03-16 13:08:41",810.268,81906496
"2020-03-16 13:08:44",814.477,81907008
"2020-03-16 13:08:48",817.313,81907440
"2020-03-16 13:08:52",821.105,81907872
"2020-03-16 13:08:56",825.105,81908368
"2020-03-16 13:08:59",829.305,81908824
"2020-03-16 13:09:03",832.486,81909280
"2020-03-16 13:09:07",836.277,81909728
"2020-03-16 13:09:11",840.067,83792616
"2020-03-16 13:09:15",844.123,86699968
"2020-03-16 13:09:18",848.332,86700448
"2020-03-16 13:09:22",851.459,86700944
"2020-03-16 13:09:26",855.25,86701456
"2020-03-16 13:09:30",859.04,86701936
"2020-03-16 13:09:34",863.169,86702424
"2020-03-16 13:09:37",867.378,86702848
"2020-03-16 13:09:41",870.413,86703320
"2020-03-16 13:09:45",874.203,86703808
"2020-03-16 13:09:49",878.006,86704192
"2020-03-16 13:09:53",882.214,86704648
"2020-03-16 13:09:56",886.425,86705088
"2020-03-16 13:10:00",889.366,88602720
"2020-03-16 13:10:04",893.156,91482424
"2020-03-16 13:10:08",897.053,91482952
"2020-03-16 13:10:12",901.262,91483384
"2020-03-16 13:10:15",905.471,91483888
"2020-03-16 13:10:19",908.319,91484352
"2020-03-16 13:10:23",912.11,91484880
